"SPI","Mean_Accuracy","p_value_bonferroni","significant","Directionality","Literature_category","Module"
"plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",43.8333333333333,0,TRUE,"Undirected","spectral","M10"
"plv_multitaper_mean_fs-1_fmin-0_fmax-0-25",75.9166666666667,0,TRUE,"Undirected","spectral","M10"
"plv_multitaper_mean_fs-1_fmin-0_fmax-0-5",62.0833333333333,0,TRUE,"Undirected","spectral","M10"
"ppc_multitaper_max_fs-1_fmin-0-25_fmax-0-5",41.9166666666667,0,TRUE,"Undirected","spectral","M12"
"ppc_multitaper_max_fs-1_fmin-0_fmax-0-25",59.4166666666667,0,TRUE,"Undirected","spectral","M12"
"ppc_multitaper_max_fs-1_fmin-0_fmax-0-5",52.25,0,TRUE,"Undirected","spectral","M12"
"ppc_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",46.5833333333333,0,TRUE,"Undirected","spectral","M12"
"ppc_multitaper_mean_fs-1_fmin-0_fmax-0-25",75.0833333333333,0,TRUE,"Undirected","spectral","M12"
"ppc_multitaper_mean_fs-1_fmin-0_fmax-0-5",64.6666666666667,0,TRUE,"Undirected","spectral","M12"
"prec_EllipticEnvelope",61.9166666666667,0,TRUE,"Undirected","basic","M14"
"prec_EmpiricalCovariance",83.5,0,TRUE,"Undirected","basic","M14"
"prec_GraphicalLasso",83.5833333333333,0,TRUE,"Undirected","basic","M14"
"prec_GraphicalLassoCV",76.5833333333333,0,TRUE,"Undirected","basic","M14"
"prec_LedoitWolf",77,0,TRUE,"Undirected","basic","M14"
"prec_MinCovDet",57.75,0,TRUE,"Undirected","basic","M14"
"prec_OAS",83.25,0,TRUE,"Undirected","basic","M14"
"prec_ShrunkCovariance",84.4166666666667,0,TRUE,"Undirected","basic","M14"
"psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",36.3333333333333,0.069999999999999,FALSE,"Directed","spectral","M01"
"psi_multitaper_mean_fs-1_fmin-0_fmax-0-25",65.75,0,TRUE,"Directed","spectral","M01"
"psi_multitaper_mean_fs-1_fmin-0_fmax-0-5",58.25,0,TRUE,"Directed","spectral","M01"
"psi_wavelet_max_fs-1_fmin-0-25_fmax-0-5_max",27.5833333333333,1,FALSE,"Directed","spectral","M08"
"psi_wavelet_max_fs-1_fmin-0_fmax-0-25_max",37.25,0.0199999999999925,TRUE,"Directed","spectral","M08"
"psi_wavelet_max_fs-1_fmin-0_fmax-0-5_max",26.5,1,FALSE,"Directed","spectral","M08"
"psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean",27.6666666666667,1,FALSE,"Directed","spectral","M08"
"psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean",39.9166666666667,0,TRUE,"Directed","spectral","M08"
"psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean",32.6666666666667,1,FALSE,"Directed","spectral","M08"
"reci",84.9166666666667,0,TRUE,"Directed","causal","M14"
"sgc_nonparametric_max_fs-1_fmin-0-25_fmax-0-5",47.75,0,TRUE,"Directed","spectral","M06"
"sgc_nonparametric_max_fs-1_fmin-0_fmax-0-25",75.6666666666667,0,TRUE,"Directed","spectral","M06"
"sgc_nonparametric_max_fs-1_fmin-0_fmax-0-5",72.75,0,TRUE,"Directed","spectral","M06"
"sgc_nonparametric_mean_fs-1_fmin-0-25_fmax-0-5",48.5,0,TRUE,"Directed","spectral","M06"
"sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-25",79.1666666666667,0,TRUE,"Directed","spectral","M06"
"sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5",76.6666666666667,0,TRUE,"Directed","spectral","M06"
"sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-1",79,0,TRUE,"Directed","spectral","M05"
"sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-20",27.4166666666667,1,FALSE,"Directed","spectral","M06"
"sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-1",86.5,0,TRUE,"Directed","spectral","M05"
"sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-20",28,1,FALSE,"Directed","spectral","M06"
"sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-1",85.9166666666667,0,TRUE,NA,NA,NA
"sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-20",26.9166666666667,1,FALSE,NA,NA,NA
"sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-1",79.5833333333333,0,TRUE,"Directed","spectral","M05"
"sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-20",30.1666666666667,1,FALSE,"Directed","spectral","M06"
"sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-1",83.5833333333333,0,TRUE,"Directed","spectral","M05"
"sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-20",30.6666666666667,1,FALSE,"Directed","spectral","M06"
"sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-1",81.3333333333333,0,TRUE,NA,NA,NA
"sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-20",31,1,FALSE,NA,NA,NA
"si_gaussian_k-1",88,0,TRUE,"Undirected","infotheory","M05"
"si_kernel_W-0.5_k-1",82.5833333333333,0,TRUE,"Undirected","infotheory","M14"
